Placeholder Header,,,,,,,,
Material,Atmosphere,Mass,Pretreat_voltage,Pretreat_highest,Voltage,PulseTime,Cap,Graphene_Yield
TCB,vac,329,25,25,206,225,5,0.252525253
TCB,vac,382,180,90,151,190,4,0.131313131
TCB,vac,433,85,85,199,68,5,0.060606061
TCB,vac,299,140,80,171,196,3,0.060606061
TCB,vac,286,40,40,214,339,0,0.282828283
TCB,vac,313,100,50,158,361,4,0.464646465
TCB,vac,378,210,105,229,81,5,0.313131313
TCB,vac,361,150,50,197,405,1,0.515151515
TCB,vac,301,270,90,213,234,1,0.464646465
TCB,vac,415,225,100,194,434,4,0.404040404
TCB,vac,267,55,55,209,275,5,0.505050505
TCB,vac,398,60,60,187,265,6,0.161616162
TCB,vac,346,105,75,230,423,3,0.272727273
TCB,vac,265,180,90,153,510,1,0.343434343
TCB,vac,419,210,70,198,372,2,0.535353535
TCB,vac,340,270,90,193,377,3,0.27272727
TCB,vac,426,180,90,198,372,2,0.2
TCB,vac,357,150,50,196,404,1,0.47474747
TCB,vac,421,55,55,197,373,2,0.16161616
TCB,vac,270,55,55,208,283,5,0.52525253
TCB,vac,419,225,100,198,319,2,0.35353535
TCB,vac,278,150,50,208,287,5,0.41414141
TCB,vac,419,60,60,202,372,2,0.17171717
TCB,vac,238,225,100,209,272,5,0.88888889
TCB,vac,239,225,100,209,269,5,0.76530612
TCB,vac,200,270,90,211,270,5,0.82653061
TCB,vac,232,270,90,212,268,5,0.82828283
TCB,vac,227,150,50,212,267,5,0.45918367
TCB,vac,231,225,100,209,273,5,0.64948454
TCB,vac,218,270,90,212,268,6,0.74489796
TCB,vac,249,150,50,210,272,5,0.444
TCB,vac,242,225,100,209,272,5,0.92929
TCB,vac,245,225,100,209,407,5,0.858
TCB,vac,247,225,100,210,415,5,0.646
TCB,vac,246,225,100,209,353,5,0.828
TCB,vac,233,225,100,206,251,5,0.899
TCB,vac,233,225,100,205,243,5,0.89
TCB,vac,250,270,90,206,245,5,0.8586
TCB,vac,257,270,90,204,242,5,0.636
TCB,vac,250,225,100,206,229,5,0.818181
TCB,vac,304,25,25,206,223,5,0.64
TCB,vac,236,225,100,207,223,5,0.845
TCB,vac,234,225,100,213,212,5,0.75758
TCB,vac,242,225,100,203,256,5,0.8687
TCB,vac,233,225,100,203,256,5,0.7273
