Sample,CB_per,MC_per,PA_per,TCB_per,Material_group,Atmosphere_type,Mass,Pretreat_voltage,Voltage,PulseTime,Cap,Tempv1,Tempv2,Graphene_Yield,I2D/IG,ID/IG,FWHM of 2D,Pretreatment Voltage (V),Voltage After Pretreatment (V) ,Imax for Pretreatment (A),Flash Voltage (V),Voltage after Flash (V),Flash Imax (A),Initial Resistance (Ω),Final Resistance (Ω)
1,0.5,0,0.5,0,CB_PA,vac,218,156,180.2,616,221.2,2783.55403478903,4431.14647260561,0.787878787878787,0.577512481422446,0.722251868694777,48.2793009523855,156,112,106,180.2,81,110,1.5,5.6
2,0.5,0,0.5,0,CB_PA,vac,162,111,175.95,259,113.2,774.860202140078,1252.03618934286,0.959595959595959,0.752051610542558,0.609836705285311,53.2033290838781,111,69,110,175.95,121,190,1.8,4
3,0,0.5,0,0.5,MC_TCB,vac,311,132,185.3,439,203.2,792.916450750906,1030.40153991368,0.808080808080808,0.56793742894707,0.535356680807304,41.6241467664927,132,1.8,189,185.3,29,387,1.8,0.3
4,0,0,0.5,0.5,PA_TCB,vac,233,90,139.4,154,113.2,353.684487367807,387.974011617691,0.347368421052631,0.444557495181883,0.599248873072076,32.8097064395639,90,57,387,139.4,79,387,3.6,0.5
5,0,0.5,0.5,0,MC_PA,vac,231,198,167.45,380,95.2,481.367868475801,534.219296032355,0.979591836734693,0.752002988560418,0.353317733190787,44.189898016762,198,82,387,167.45,88,423,1.8,0.4
6,0,0.5,0,0.5,MC_TCB,vac,211,97.2,181.9,222,203.2,876.853883710649,1196.00354897737,0.785714285714285,0.540828451165674,0.464182486679562,35.9676963435003,97.2,2,207,181.9,98,462,1,1.8
7,0.5,0.5,0,0,CB_MC,air,242,165,176.8,77,131.2,355.130637012344,386.641403650116,0.822916666666666,0.561614494869341,0.744666763726638,42.9777037943998,165,150,462,176.8,156,462,1,2.3
8,0.5,0.5,0,0,CB_MC,vac,222,90,150.45,168,95.2,369.229700408717,411.372924768891,0.888888888888888,0.596104523120064,0.75279773850058,49.1925271519757,90,60,462,150.45,99,462,0.9,0.7
9,0,0.5,0.5,0,MC_PA,air,289,144,157.25,216,113.2,369.2007183053,389.302054108675,0.868686868686868,0.699753141180609,0.423472093209041,46.2040766791937,144,55,462,157.25,3,462,1.4,0.3
10,0.5,0.5,0,0,CB_MC,air,240,144,165.75,318,131.2,570.448192317061,712.552633871204,1,0.870422927279294,0.506898268795382,50.2952474595287,144,104,120,167.75,104,179,1,3.4
11,0.5,0,0.5,0,CB_PA,vac,246,112.2,161.5,163,149.2,479.653225349309,586.842955866831,0.666666666666666,0.477001289749974,0.818655895879196,23.6370390749278,112.2,88,179,161.5,122,179,2.1,1.6
12,0.5,0.5,0,0,CB_MC,arg,188,144,153,295,59.2,369.94742750132,420.903531739268,1,0.834798791862543,0.523211209227878,51.7723172794717,144,94,179,153,73,179,0.9,6
13,0,0.5,0,0.5,MC_TCB,vac,326,97.2,156.4,294,131.2,382.722053218086,424.733279453768,0.849462365591397,0.591174689512739,0.517758519617205,31.8805005218553,97.2,1,179,156.4,45,381,1.2,0.4
14,0.5,0.5,0,0,CB_MC,vac,219,61.2,156.4,179,113.2,412.88868911203,480.144559671597,0.683673469387755,0.492490499158482,0.830075290184859,30.4307492153829,61.2,18,74,156.4,93,232,0.9,0.5
15,0.5,0.5,0,0,CB_MC,vac,231,78,136,95,95.2,321.664339477754,336.842367859015,0.636363636363636,0.440690415353838,0.755581562219354,7.04131860083706,78,51,91,136,96,156,1,1.5
16,0.5,0,0,0.5,CB_TCB,vac,219,139.2,180.2,209,221.2,988.605615958964,1645.18464246121,0.919191919191919,0.614913456236261,0.756847709386737,41.1759015065223,139.2,113,97,180.2,135,173,2,2.6
17,0.5,0.5,0,0,CB_MC,vac,191,126,192.95,538,167.2,2040.31311700841,3178.81486880953,1,0.745390986766461,0.620447126728059,53.918234402414,126,50,146,192.95,75,268,1,5
18,0.5,0.5,0,0,CB_MC,vac,236,120.6,187,489,185.2,1460.03088029634,2067.81631264969,0.929292929292929,0.768503992582054,0.581932638685578,50.8408319867949,120.6,67,129,187,99,196,1,2.4
19,0,0.5,0,0.5,MC_TCB,vac,322,139.2,198.9,102,167.2,379.395981686094,419.983682797669,0.775510204081632,0.590384569479729,0.434542814171902,36.537223769115,139.2,89,202,198.9,136,447,2,0.5
20,0.5,0,0,0.5,CB_TCB,vac,213,85.2,150.45,197,131.2,456.224071935504,615.983020276111,0.917647058823529,0.643398065368958,0.73277195048815,40.6443327826805,85.2,59,52,150.45,109,169,2,0.8
